event_id,start_time,end_time,duration_minutes,line,machine,reason_code,reason_text,operator_comment,shift,operator_id,work_order,sku,date
EVT-1001,5/1/2024 8:15,5/1/2024 8:45,30,Line_3,Palletizer_A,MC-402,Motor Overload,Heard high pitched squealing before trip. Reset twice.,Day,OP-442,WO-9912,SKU-88,5/1/2024
EVT-1002,5/1/2024 10:30,5/1/2024 10:40,10,Line_3,Filler_02,IN-201,Infeed Starved,Upstream jam on Conveyor 4. Waiting for clear.,Day,OP-442,WO-9915,SKU-88,5/1/2024
EVT-1003,5/1/2024 14:00,5/1/2024 14:05,5,Line_2,Sealer_05,MC-100,Minor Stop,Film misalignment. Adjusted rollers.,Day,OP-301,NULL,SKU-45,5/1/2024
EVT-1004,5/1/2024 15:15,5/1/2024 15:20,5,Line_2,Sealer_05,MC-100,Minor Stop,Film drift. Roller 3 loose.,Day,OP-301,NULL,SKU-45,5/1/2024
EVT-1005,5/1/2024 18:30,5/1/2024 18:45,15,Line_3,Palletizer_A,MC-402,Motor Overload,Reset breaker. Motor housing is hot.,Swing,OP-202,WO-9918,SKU-88,5/1/2024
EVT-1006,5/1/2024 22:10,5/2/2024 1:30,200,Line_1,Labeler_B,ME-901,Mechanical Failure,Main drive belt snapped. Out of stock.,Night,OP-112,WO-9920,SKU-12,5/1/2024
EVT-1007,5/2/2024 3:00,5/2/2024 3:15,15,Line_3,Palletizer_A,MC-402,Motor Overload,Tripped again. Operator smells burning.,Night,OP-112,WO-9922,SKU-88,5/2/2024
EVT-1008,5/2/2024 7:10,5/2/2024 7:15,5,Line_2,Sealer_05,MC-100,Minor Stop,Adjusted film path.,Day,OP-301,NULL,SKU-45,5/2/2024
EVT-1009,5/2/2024 8:45,5/2/2024 8:50,5,Line_2,Sealer_05,MC-100,Minor Stop,Roller 3 needs constant tightening.,Day,OP-301,NULL,SKU-45,5/2/2024
EVT-1010,5/2/2024 9:20,5/2/2024 10:00,40,Line_3,Palletizer_A,MC-405,E-Stop,Total shutdown. Smoke coming from motor. Bearing seized.,Day,OP-442,WO-9928,SKU-88,5/2/2024
EVT-1011,5/2/2024 11:00,5/2/2024 11:15,15,Line_4,Mixer_22,VIB-30,High Vibration,Excessive shaking. Slowed down RPM.,Day,OP-305,WO-9930,SKU-09,5/2/2024
EVT-1012,5/2/2024 14:30,5/2/2024 14:40,10,Line_3,Filler_02,IN-201,Infeed Starved,Conveyor 4 jammed again.,Day,OP-442,NULL,SKU-88,5/2/2024
EVT-1013,5/2/2024 19:00,5/2/2024 19:05,5,Line_2,Sealer_05,MC-100,Minor Stop,Drifting film.,Swing,OP-205,NULL,SKU-45,5/2/2024
